age,gender,musicLessonConfidence,musicNotationConfidence,blockBasedConfidence,computerConfidence,musicSoftwareConfidence,extraPressureRecorded,parentInRoom,noteEdit,navigate,playback,building,paramChange,pleasure,clearGoals,focusedAttention,clearCutFeedback,engagement
9,Female,2,2,4,4,1,2,1,0.5,0.0833333333333333,0.0,0.4166666666666667,0.0,False,False,False,False,No Engagement
9,Female,2,2,4,4,1,2,1,0.0,0.2727272727272727,0.0,0.7272727272727273,0.0,False,True,False,False,Engagement
9,Female,2,2,4,4,1,2,1,0.4285714285714285,0.0,0.0,0.5714285714285714,0.0,False,True,False,False,Engagement
9,Female,2,2,4,4,1,2,1,0.0,0.1666666666666666,0.1111111111111111,0.2777777777777778,0.4444444444444444,False,True,False,False,Engagement
9,Female,2,2,4,4,1,2,1,0.4,0.0,0.0,0.6,0.0,False,True,False,False,Engagement
9,Female,2,2,4,4,1,2,1,0.1,0.2,0.0,0.7,0.0,False,False,True,False,Engagement
9,Female,2,2,4,4,1,2,1,0.0,0.1666666666666666,0.1666666666666666,0.6666666666666666,0.0,True,False,True,False,Engagement
9,Female,2,2,4,4,1,2,1,0.0,0.5454545454545454,0.0909090909090909,0.3636363636363636,0.0,True,False,False,False,Engagement
9,Female,2,2,4,4,1,2,1,0.7,0.3,0.0,0.0,0.0,False,False,False,False,No Engagement
9,Female,2,2,4,4,1,2,1,0.40625,0.0625,0.0,0.1875,0.34375,False,False,False,False,No Engagement
9,Female,2,2,4,4,1,2,1,0.6666666666666666,0.0476190476190476,0.0,0.2857142857142857,0.0,False,False,False,False,No Engagement
9,Female,2,2,4,4,1,2,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,False,False,True,False,Engagement
9,Female,2,2,4,4,1,2,1,0.238095238095238,0.0,0.1428571428571428,0.6190476190476191,0.0,True,True,True,False,Engagement
9,Female,2,2,4,4,1,2,1,0.0,0.1428571428571428,0.0,0.8571428571428571,0.0,True,True,True,False,Engagement
9,Female,2,2,4,4,1,2,1,0.3529411764705882,0.0,0.1764705882352941,0.4705882352941176,0.0,False,True,True,False,Engagement
9,Female,2,2,4,4,1,2,1,0.0909090909090909,0.4545454545454545,0.1818181818181818,0.2727272727272727,0.0,False,False,False,False,No Engagement
9,Female,2,2,4,4,1,2,1,0.0,0.5555555555555556,0.0,0.4444444444444444,0.0,False,False,False,False,No Engagement
9,Female,2,2,4,4,1,2,1,0.6666666666666666,0.0833333333333333,0.0833333333333333,0.1666666666666666,0.0,False,False,True,False,Engagement
9,Female,2,2,4,4,1,2,1,0.4,0.2,0.2,0.2,0.0,False,False,True,False,Engagement
9,Female,2,2,4,4,1,2,1,0.8,0.0,0.0,0.2,0.0,False,False,False,False,No Engagement
9,Female,2,2,4,4,1,2,1,0.0,0.7142857142857143,0.0,0.2857142857142857,0.0,False,False,False,False,No Engagement
9,Female,2,2,4,4,1,2,1,0.0,0.3333333333333333,0.1666666666666666,0.5,0.0,False,True,True,False,Engagement
9,Female,2,2,4,4,1,2,1,0.0,0.0,0.1176470588235294,0.6470588235294118,0.2352941176470588,False,True,True,False,Engagement
9,Female,2,2,4,4,1,2,1,0.4583333333333333,0.0416666666666666,0.0,0.4166666666666667,0.0833333333333333,False,False,False,False,No Engagement
9,Female,2,2,4,4,1,2,1,0.6363636363636364,0.1818181818181818,0.1818181818181818,0.0,0.0,True,False,True,False,Engagement
9,Female,2,2,4,4,1,2,1,0.5,0.0833333333333333,0.0833333333333333,0.3333333333333333,0.0,True,False,False,False,Engagement
9,Female,2,2,4,4,1,2,1,0.0,0.25,0.125,0.625,0.0,False,False,False,False,No Engagement
9,Female,2,2,4,4,1,2,1,0.5,0.1875,0.0,0.3125,0.0,False,False,False,False,No Engagement
9,Female,2,2,4,4,1,2,1,0.7142857142857143,0.1428571428571428,0.1428571428571428,0.0,0.0,False,True,True,False,Engagement
9,Female,2,2,4,4,1,2,1,0.0,0.1818181818181818,0.0909090909090909,0.7272727272727273,0.0,False,True,True,False,Engagement
9,Female,2,2,4,4,1,2,1,0.45,0.05,0.0,0.5,0.0,False,False,False,False,No Engagement
9,Female,2,2,4,4,1,2,1,0.8666666666666667,0.0666666666666666,0.0666666666666666,0.0,0.0,False,False,False,True,Engagement
9,Female,2,2,4,4,1,2,1,0.5833333333333334,0.0,0.0833333333333333,0.3333333333333333,0.0,False,False,False,True,Engagement
9,Female,2,2,4,4,1,2,1,0.125,0.375,0.0,0.5,0.0,False,False,False,False,No Engagement
9,Female,2,2,4,4,1,2,1,0.3076923076923077,0.0,0.0769230769230769,0.6153846153846154,0.0,False,False,True,False,Engagement
9,Female,2,2,4,4,1,2,1,0.6,0.2,0.2,0.0,0.0,False,False,True,False,Engagement
9,Female,2,2,4,4,1,2,1,0.0,0.1538461538461538,0.0,0.7692307692307693,0.0769230769230769,False,False,False,False,No Engagement
9,Female,2,2,4,4,1,2,1,0.6666666666666666,0.0666666666666666,0.0,0.2666666666666666,0.0,False,False,False,False,No Engagement
9,Female,2,2,4,4,1,2,1,0.0,0.8571428571428571,0.1428571428571428,0.0,0.0,False,False,False,True,Engagement
9,Female,2,2,4,4,1,2,1,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,False,False,False,False,No Engagement
9,Female,2,2,4,4,1,2,1,0.4,0.2,0.0,0.4,0.0,False,False,False,False,No Engagement
9,Female,2,2,4,4,1,2,1,0.8823529411764706,0.0588235294117647,0.0588235294117647,0.0,0.0,False,False,False,True,Engagement
9,Female,2,2,4,4,1,2,1,0.0,0.5,0.25,0.25,0.0,False,True,False,False,Engagement
9,Female,2,2,4,4,1,2,1,0.0,0.1538461538461538,0.0769230769230769,0.7692307692307693,0.0,False,True,False,False,Engagement
9,Female,2,2,4,4,1,2,1,0.0,0.3333333333333333,0.1666666666666666,0.5,0.0,False,False,False,False,No Engagement
9,Female,2,2,4,4,1,2,1,0.4285714285714285,0.0952380952380952,0.0,0.4761904761904761,0.0,False,False,False,False,No Engagement
9,Female,2,2,4,4,1,2,1,0.0,0.1818181818181818,0.0909090909090909,0.7272727272727273,0.0,False,False,False,False,No Engagement
9,Female,2,2,4,4,1,2,1,0.0,0.5,0.5,0.0,0.0,False,False,False,False,No Engagement
10,Female,4,4,5,5,4,2,1,0.1,0.5,0.0,0.4,0.0,False,False,False,False,No Engagement
10,Female,4,4,5,5,4,2,1,1.0,0.0,0.0,0.0,0.0,False,False,False,False,No Engagement
10,Female,4,4,5,5,4,2,1,0.8260869565217391,0.0,0.1739130434782608,0.0,0.0,False,True,False,False,Engagement
10,Female,4,4,5,5,4,2,1,0.4166666666666667,0.0,0.25,0.3333333333333333,0.0,False,True,False,False,Engagement
10,Female,4,4,5,5,4,2,1,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,False,True,False,False,Engagement
10,Female,4,4,5,5,4,2,1,0.6153846153846154,0.0,0.0769230769230769,0.3076923076923077,0.0,False,False,False,False,No Engagement
10,Female,4,4,5,5,4,2,1,0.5,0.25,0.25,0.0,0.0,False,False,True,False,Engagement
10,Female,4,4,5,5,4,2,1,1.0,0.0,0.0,0.0,0.0,False,True,False,False,Engagement
10,Female,4,4,5,5,4,2,1,0.8888888888888888,0.1111111111111111,0.0,0.0,0.0,False,True,False,False,Engagement
10,Female,4,4,5,5,4,2,1,0.3846153846153846,0.0769230769230769,0.0,0.5384615384615384,0.0,False,False,False,True,Engagement
10,Female,4,4,5,5,4,2,1,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,False,False,False,True,Engagement
10,Female,4,4,5,5,4,2,1,0.1666666666666666,0.0,0.3333333333333333,0.5,0.0,True,False,False,False,Engagement
10,Female,4,4,5,5,4,2,1,0.6470588235294118,0.0,0.0,0.3529411764705882,0.0,False,False,False,False,No Engagement
10,Female,4,4,5,5,4,2,1,0.7777777777777778,0.0,0.0,0.2222222222222222,0.0,False,True,False,False,Engagement
10,Female,4,4,5,5,4,2,1,0.8,0.0,0.2,0.0,0.0,False,True,False,False,Engagement
10,Female,4,4,5,5,4,2,1,0.1607142857142857,0.0,0.0357142857142857,0.7321428571428571,0.0,False,False,False,False,No Engagement
10,Female,4,4,5,5,4,2,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,False,False,True,False,Engagement
10,Female,4,4,5,5,4,2,1,0.8888888888888888,0.0,0.0,0.1111111111111111,0.0,False,False,False,False,No Engagement
10,Female,4,4,5,5,4,2,1,0.8666666666666667,0.0,0.0,0.1333333333333333,0.0,False,False,False,False,No Engagement
10,Female,4,4,5,5,4,2,1,0.8,0.0,0.0,0.2,0.0,False,True,False,False,Engagement
10,Female,4,4,5,5,4,2,1,0.2857142857142857,0.0,0.0,0.6666666666666666,0.0,False,True,False,False,Engagement
10,Female,4,4,5,5,4,2,1,0.1538461538461538,0.0256410256410256,0.0256410256410256,0.7435897435897436,0.0,False,False,True,False,Engagement
10,Female,4,4,5,5,4,2,1,0.6666666666666666,0.1666666666666666,0.1666666666666666,0.0,0.0,False,False,True,True,Engagement
10,Female,4,4,5,5,4,2,1,0.7647058823529411,0.0,0.0,0.2352941176470588,0.0,False,False,False,False,No Engagement
10,Female,4,4,5,5,4,2,1,0.6,0.0,0.4,0.0,0.0,False,False,False,True,Engagement
10,Female,4,4,5,5,4,2,1,1.0,0.0,0.0,0.0,0.0,False,True,False,True,Engagement
10,Female,4,4,5,5,4,2,1,0.0888888888888888,0.0,0.0111111111111111,0.8555555555555555,0.0,False,True,False,False,Engagement
10,Female,4,4,5,5,4,2,1,0.0,0.2,0.6,0.2,0.0,False,False,False,True,Engagement
10,Female,4,4,5,5,4,2,1,0.0793650793650793,0.0317460317460317,0.0,0.8571428571428571,0.0,False,False,False,False,No Engagement
10,Female,4,4,5,5,4,2,1,0.0884955752212389,0.0088495575221238,0.0,0.8672566371681416,0.0,False,True,False,False,Engagement
10,Female,4,4,5,5,4,2,1,0.0641509433962264,0.0037735849056603,0.0,0.8943396226415095,0.0,False,True,False,False,Engagement
10,Female,4,4,5,5,4,2,1,0.0,0.1666666666666666,0.3333333333333333,0.5,0.0,False,True,False,False,Engagement
10,Female,4,4,5,5,4,2,1,0.0,0.25,0.0,0.75,0.0,False,False,False,False,No Engagement
10,Female,4,4,5,5,4,2,1,0.5078125,0.0078125,0.015625,0.4609375,0.0,False,False,False,False,No Engagement
10,Female,4,4,5,5,4,2,1,0.1818181818181818,0.0454545454545454,0.0,0.6363636363636364,0.0,False,False,False,False,No Engagement
10,Female,4,4,5,5,4,2,1,0.044280442804428,0.003690036900369,0.0,0.9298892988929888,0.0,False,True,False,False,Engagement
10,Female,4,4,5,5,4,2,1,0.0344827586206896,0.0517241379310344,0.0344827586206896,0.8620689655172413,0.0,True,True,False,True,Engagement
10,Female,4,4,5,5,4,2,1,0.0,0.6,0.4,0.0,0.0,True,False,False,True,Engagement
9,Male,2,1,2,5,1,5,5,0.0,0.25,0.0,0.6666666666666666,0.0833333333333333,False,False,False,False,No Engagement
9,Male,2,1,2,5,1,5,5,0.48,0.04,0.0,0.48,0.0,False,False,False,False,No Engagement
9,Male,2,1,2,5,1,5,5,1.0,0.0,0.0,0.0,0.0,False,False,False,False,No Engagement
9,Male,2,1,2,5,1,5,5,0.0,0.0909090909090909,0.0,0.5454545454545454,0.3636363636363636,False,False,False,False,No Engagement
9,Male,2,1,2,5,1,5,5,0.0,0.0,0.0571428571428571,0.7142857142857143,0.2285714285714285,False,False,False,True,Engagement
9,Male,2,1,2,5,1,5,5,0.0,0.1764705882352941,0.1176470588235294,0.7058823529411765,0.0,True,False,False,False,Engagement
9,Male,2,1,2,5,1,5,5,0.76,0.08,0.0,0.16,0.0,False,False,False,False,No Engagement
9,Male,2,1,2,5,1,5,5,0.2941176470588235,0.0588235294117647,0.0,0.5294117647058824,0.1176470588235294,False,True,True,False,Engagement
9,Male,2,1,2,5,1,5,5,0.0,0.0,0.1818181818181818,0.8181818181818182,0.0,False,False,True,False,Engagement
9,Male,2,1,2,5,1,5,5,0.375,0.0625,0.0,0.5,0.0625,False,False,True,False,Engagement
9,Male,2,1,2,5,1,5,5,0.6190476190476191,0.0,0.0,0.3809523809523809,0.0,False,False,True,False,Engagement
9,Male,2,1,2,5,1,5,5,1.0,0.0,0.0,0.0,0.0,False,False,True,False,Engagement
9,Male,2,1,2,5,1,5,5,0.8461538461538461,0.0384615384615384,0.0769230769230769,0.0384615384615384,0.0,True,False,False,True,Engagement
9,Male,2,1,2,5,1,5,5,0.0,0.0,0.0,0.8571428571428571,0.1428571428571428,False,False,False,False,No Engagement
9,Male,2,1,2,5,1,5,5,0.0,0.0909090909090909,0.1818181818181818,0.7272727272727273,0.0,False,False,False,True,Engagement
9,Male,2,1,2,5,1,5,5,0.0,0.0263157894736842,0.0,0.1842105263157894,0.7894736842105263,False,False,True,True,Engagement
9,Male,2,1,2,5,1,5,5,0.0,0.1666666666666666,0.5,0.3333333333333333,0.0,True,False,False,False,Engagement
9,Male,2,1,2,5,1,5,5,0.0,0.0,0.0135135135135135,0.0,0.9864864864864864,True,False,False,False,Engagement
9,Male,2,1,2,5,1,5,5,0.0,0.0,1.0,0.0,0.0,True,False,False,False,Engagement
9,Male,2,1,2,5,1,5,5,0.0,0.0,0.0,0.0,1.0,True,True,False,False,Engagement
9,Male,2,1,2,5,1,5,5,0.0,0.0,0.0,0.0,1.0,True,True,False,False,Engagement
9,Male,2,1,2,5,1,5,5,0.0,0.0,0.1666666666666666,0.0,0.8333333333333334,True,True,False,False,Engagement
9,Male,2,1,2,5,1,5,5,0.0,0.0,0.0,0.0,1.0,True,True,False,False,Engagement
9,Male,2,1,2,5,1,5,5,0.0,0.0,0.75,0.0,0.25,True,True,False,False,Engagement
9,Male,2,1,2,5,1,5,5,0.0,0.0,0.1666666666666666,0.0,0.8333333333333334,True,False,False,False,Engagement
9,Male,2,1,2,5,1,5,5,0.0,0.3333333333333333,0.1111111111111111,0.4444444444444444,0.1111111111111111,False,False,False,False,No Engagement
9,Male,2,1,2,5,1,5,5,0.0,0.0833333333333333,0.0,0.5,0.3333333333333333,False,False,False,False,No Engagement
9,Male,2,1,2,5,1,5,5,0.0,0.0188679245283018,0.0377358490566037,0.0,0.9433962264150944,False,False,False,False,No Engagement
9,Male,2,1,2,5,1,5,5,0.0,0.0476190476190476,0.0,0.1904761904761904,0.7619047619047619,False,False,False,False,No Engagement
9,Male,2,1,2,5,1,5,5,0.0,0.0,0.0714285714285714,0.0,0.9285714285714286,True,False,False,False,Engagement
9,Male,2,1,2,5,1,5,5,0.0,0.0,1.0,0.0,0.0,False,False,False,False,No Engagement
9,Male,2,1,2,5,1,5,5,0.0,0.1538461538461538,0.0769230769230769,0.7692307692307693,0.0,True,True,False,False,Engagement
9,Male,2,1,2,5,1,5,5,1.0,0.0,0.0,0.0,0.0,False,True,False,False,Engagement
9,Male,2,1,2,5,1,5,5,0.0,0.0,0.0,1.0,0.0,False,False,False,False,No Engagement
9,Male,2,1,2,5,1,5,5,0.0,0.0,1.0,0.0,0.0,True,False,False,False,Engagement
9,Male,2,1,2,5,1,5,5,0.1176470588235294,0.0588235294117647,0.1176470588235294,0.7058823529411765,0.0,False,True,False,False,Engagement
9,Male,2,1,2,5,1,5,5,1.0,0.0,0.0,0.0,0.0,False,True,False,False,Engagement
9,Male,2,1,2,5,1,5,5,0.2727272727272727,0.0,0.3636363636363636,0.3636363636363636,0.0,True,True,False,False,Engagement
9,Male,2,1,2,5,1,5,5,0.0,0.0714285714285714,0.2142857142857142,0.7142857142857143,0.0,True,False,False,False,Engagement
9,Male,2,1,2,5,1,5,5,0.0,0.0,0.1578947368421052,0.8421052631578947,0.0,True,False,False,False,Engagement
9,Male,2,1,2,5,1,5,5,0.0,0.0,0.1052631578947368,0.8947368421052632,0.0,True,False,False,False,Engagement
9,Male,2,1,2,5,1,5,5,0.0,0.0,0.0666666666666666,0.9333333333333332,0.0,False,False,True,False,Engagement
9,Male,2,1,2,5,1,5,5,0.0,0.0,1.0,0.0,0.0,False,False,False,False,No Engagement
9,Male,2,1,4,5,4,2,1,0.0,0.8,0.0,0.2,0.0,False,False,False,False,No Engagement
9,Male,2,1,4,5,4,2,1,0.2222222222222222,0.1111111111111111,0.0,0.6666666666666666,0.0,False,False,False,False,No Engagement
9,Male,2,1,4,5,4,2,1,0.1176470588235294,0.1764705882352941,0.0,0.7058823529411765,0.0,False,False,False,False,No Engagement
9,Male,2,1,4,5,4,2,1,0.0,0.0,0.0,0.625,0.375,False,False,True,False,Engagement
9,Male,2,1,4,5,4,2,1,0.4444444444444444,0.1111111111111111,0.0,0.4444444444444444,0.0,False,False,True,False,Engagement
9,Male,2,1,4,5,4,2,1,1.0,0.0,0.0,0.0,0.0,False,False,False,False,No Engagement
9,Male,2,1,4,5,4,2,1,0.9333333333333332,0.0666666666666666,0.0,0.0,0.0,False,False,False,False,No Engagement
9,Male,2,1,4,5,4,2,1,0.8666666666666667,0.1333333333333333,0.0,0.0,0.0,False,False,False,False,No Engagement
9,Male,2,1,4,5,4,2,1,0.65,0.05,0.0,0.3,0.0,False,False,True,False,Engagement
9,Male,2,1,4,5,4,2,1,0.0,1.0,0.0,0.0,0.0,False,False,True,False,Engagement
9,Male,2,1,4,5,4,2,1,0.0,1.0,0.0,0.0,0.0,False,False,False,False,No Engagement
9,Male,2,1,4,5,4,2,1,0.8,0.2,0.0,0.0,0.0,False,False,False,False,No Engagement
9,Male,2,1,4,5,4,2,1,1.0,0.0,0.0,0.0,0.0,False,True,False,False,Engagement
9,Male,2,1,4,5,4,2,1,0.0,0.0,1.0,0.0,0.0,True,False,False,False,Engagement
9,Male,2,1,4,5,4,2,1,0.0,0.0,1.0,0.0,0.0,True,False,False,False,Engagement
10,Female,4,1,5,4,4,1,1,0.0,0.1428571428571428,0.0,0.8571428571428571,0.0,False,False,False,False,No Engagement
10,Female,4,1,5,4,4,1,1,0.3529411764705882,0.0,0.0,0.4117647058823529,0.2352941176470588,False,False,False,False,No Engagement
10,Female,4,1,5,4,4,1,1,0.2307692307692307,0.0,0.1538461538461538,0.3076923076923077,0.3076923076923077,True,False,False,False,Engagement
10,Female,4,1,5,4,4,1,1,0.35,0.0,0.05,0.6,0.0,False,False,False,False,No Engagement
10,Female,4,1,5,4,4,1,1,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,False,False,True,False,Engagement
10,Female,4,1,5,4,4,1,1,0.2941176470588235,0.0,0.1176470588235294,0.0,0.5882352941176471,False,False,True,False,Engagement
10,Female,4,1,5,4,4,1,1,0.0,0.0,0.12,0.0,0.88,False,False,False,True,Engagement
10,Female,4,1,5,4,4,1,1,0.6153846153846154,0.0769230769230769,0.0769230769230769,0.0,0.2307692307692307,False,False,False,False,No Engagement
10,Female,4,1,5,4,4,1,1,0.0,0.0769230769230769,0.0,0.8461538461538461,0.0769230769230769,False,False,False,False,No Engagement
10,Female,4,1,5,4,4,1,1,0.35,0.0,0.0,0.3,0.35,False,False,False,False,No Engagement
10,Female,4,1,5,4,4,1,1,0.5,0.0,0.5,0.0,0.0,True,False,False,False,Engagement
10,Female,4,1,5,4,4,1,1,0.0,0.2,0.0,0.8,0.0,True,False,False,False,Engagement
10,Female,4,1,5,4,4,1,1,0.0,0.0,0.0,1.0,0.0,False,False,False,False,No Engagement
10,Female,4,1,5,4,4,1,1,0.2105263157894736,0.0,0.2105263157894736,0.0,0.5789473684210527,False,True,True,False,Engagement
10,Female,4,1,5,4,4,1,1,0.0,0.0,0.0689655172413793,0.0,0.9310344827586208,False,False,True,True,Engagement
10,Female,4,1,5,4,4,1,1,0.34375,0.0,0.0,0.0,0.65625,False,False,False,False,No Engagement
10,Female,4,1,5,4,4,1,1,0.0,0.0,0.125,0.875,0.0,False,False,False,False,No Engagement
10,Female,4,1,5,4,4,1,1,0.0,0.05,0.0,0.95,0.0,False,False,False,False,No Engagement
10,Female,4,1,5,4,4,1,1,0.0,0.0,0.2,0.8,0.0,False,False,False,False,No Engagement
10,Female,4,1,5,4,4,1,1,0.0833333333333333,0.0,0.1666666666666666,0.75,0.0,False,False,False,False,No Engagement
10,Female,4,1,5,4,4,1,1,0.4074074074074074,0.0,0.074074074074074,0.0,0.5185185185185185,False,False,True,False,Engagement
10,Female,4,1,5,4,4,1,1,0.0,0.0,1.0,0.0,0.0,True,False,True,False,Engagement
10,Female,4,1,5,4,4,1,1,0.0,0.1666666666666666,0.0,0.8333333333333334,0.0,False,False,False,False,No Engagement
10,Female,4,1,5,4,4,1,1,0.3571428571428571,0.0,0.0,0.6428571428571429,0.0,False,False,False,False,No Engagement
10,Female,4,1,5,4,4,1,1,0.5,0.0416666666666666,0.0,0.4583333333333333,0.0,False,False,False,False,No Engagement
10,Female,4,1,5,4,4,1,1,0.75,0.0,0.25,0.0,0.0,False,False,False,False,No Engagement
